5.4,1.0
4.95,1.03
4.48,1.12
4.029999999999999,1.25
3.6,1.43
3.18,1.65
2.8,1.9
3.25,1.85
3.78,1.83
4.23,1.95
4.779999999999999,2.37
4.970000000000001,2.7800000000000002
4.98,5.48
4.33,5.5
4.32,3.08
4.07,2.6
3.58,2.48
3.13,2.55
2.8,2.88
2.77,5.48
2.12,5.5
2.1,2.9299999999999997
2.23,2.48
1.9,2.8
1.63,3.2
1.42,3.62
1.25,4.07
1.12,4.55
1.03,5.1
1.0,5.62
1.03,6.07
1.12,6.53
1.25,6.98
1.43,7.42
1.65,7.83
1.9,8.219999999999999
2.55,8.92
2.92,9.2
3.32,9.45
3.73,9.65
4.17,9.8
4.63,9.92
5.1,9.98
5.9,10.0
6.37,9.93
6.83,9.82
7.27,9.65
7.68,9.45
8.08,9.2
8.469999999999999,8.9
6.83,8.629999999999999
6.82,8.18
9.12,8.17
9.38,7.8
9.6,7.4
9.77,6.95
9.9,6.47
9.98,5.92
10.0,5.12
9.93,4.65
9.82,4.18
9.65,3.75
9.45,3.33
9.2,2.9299999999999997
8.92,2.5700000000000003
8.469999999999999,2.1
8.1,1.8199999999999998
7.7,1.5699999999999998
7.28,1.37
6.85,1.22
6.38,1.1
5.92,1.03
5.4,1.0
